"Enrichment.FDR";"Genes.in.list";"Total.genes";"Functional.Category";"Genes";"species";"feature"
2.20757343277587e-67;91;548;"Proteolysis involved in cellular protein catabolic process ";"AT1G02300 AT1G02305 AT1G02980 AT1G04810 AT1G06260 AT1G09850 AT1G13060 AT1G20200 AT1G21720 AT1G23410 AT1G29090 AT1G29150 AT1G45000 AT1G47250 AT1G53850 AT1G56450 AT1G64520 AT1G65350 AT1G75990 AT1G77440 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT2G34080 AT2G36170 AT2G47110 AT3G09790 AT3G11270 AT3G13330 AT3G14290 AT3G19390 AT3G19400 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G52590 AT3G53970 AT3G60820 AT3G62250 AT4G01610 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G11310 AT4G11320 AT4G14800 AT4G15165 AT4G19006 AT4G23520 AT4G24820 AT4G28470 AT4G31300 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G20620 AT5G23540 AT5G35590 AT5G40580 AT5G42790 AT5G43010 AT5G45620 AT5G45890 AT5G50260 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G09100 AT1G75950 AT2G20140 AT3G05520 AT3G05530 AT4G29040 AT4G34210 AT4G34470 AT5G42190 AT5G58290";"A. thaliana";"AID"
5.04213887566392e-67;91;557;"Cellular protein catabolic process ";"AT1G02300 AT1G02305 AT1G02980 AT1G04810 AT1G06260 AT1G09850 AT1G13060 AT1G20200 AT1G21720 AT1G23410 AT1G29090 AT1G29150 AT1G45000 AT1G47250 AT1G53850 AT1G56450 AT1G64520 AT1G65350 AT1G75990 AT1G77440 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT2G34080 AT2G36170 AT2G47110 AT3G09790 AT3G11270 AT3G13330 AT3G14290 AT3G19390 AT3G19400 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G52590 AT3G53970 AT3G60820 AT3G62250 AT4G01610 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G11310 AT4G11320 AT4G14800 AT4G15165 AT4G19006 AT4G23520 AT4G24820 AT4G28470 AT4G31300 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G20620 AT5G23540 AT5G35590 AT5G40580 AT5G42790 AT5G43010 AT5G45620 AT5G45890 AT5G50260 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G09100 AT1G75950 AT2G20140 AT3G05520 AT3G05530 AT4G29040 AT4G34210 AT4G34470 AT5G42190 AT5G58290";"A. thaliana";"AID"
4.57292651603317e-66;107;886;"Organonitrogen compound catabolic process ";"AT1G02300 AT1G02305 AT1G02980 AT1G04810 AT1G06260 AT1G09850 AT1G13060 AT1G20200 AT1G21720 AT1G23410 AT1G29090 AT1G29150 AT1G45000 AT1G47250 AT1G53850 AT1G56450 AT1G64520 AT1G65350 AT1G75990 AT1G77440 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT2G34080 AT2G36170 AT2G47110 AT3G09790 AT3G11270 AT3G13330 AT3G14290 AT3G19390 AT3G19400 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G52590 AT3G53970 AT3G60820 AT3G62250 AT4G01610 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G11310 AT4G11320 AT4G13930 AT4G14800 AT4G15165 AT4G19006 AT4G19720 AT4G19730 AT4G19750 AT4G19760 AT4G19800 AT4G19810 AT4G19820 AT4G23520 AT4G24820 AT4G28470 AT4G31300 AT4G32520 AT4G37930 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G20620 AT5G23540 AT5G26780 AT5G35590 AT5G40290 AT5G40580 AT5G42790 AT5G43010 AT5G45620 AT5G45890 AT5G50260 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G09100 AT1G53750 AT1G75950 AT2G20140 AT3G05520 AT3G05530 AT4G29040 AT4G34210 AT4G34470 AT5G19990 AT5G20000 AT5G42190 AT5G58290 AT2G41110";"A. thaliana";"AID"
4.67697477565117e-66;95;647;"Protein catabolic process ";"AT1G02300 AT1G02305 AT1G02980 AT1G04810 AT1G06260 AT1G09850 AT1G13060 AT1G20200 AT1G21720 AT1G23410 AT1G29090 AT1G29150 AT1G45000 AT1G47250 AT1G53850 AT1G56450 AT1G64520 AT1G65350 AT1G75990 AT1G77440 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT2G34080 AT2G36170 AT2G47110 AT3G09790 AT3G11270 AT3G13330 AT3G14290 AT3G19390 AT3G19400 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G52590 AT3G53970 AT3G60820 AT3G62250 AT4G01610 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G11310 AT4G11320 AT4G14800 AT4G15165 AT4G19006 AT4G23520 AT4G24820 AT4G28470 AT4G31300 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G20620 AT5G23540 AT5G35590 AT5G40580 AT5G42790 AT5G43010 AT5G45620 AT5G45890 AT5G50260 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G09100 AT1G53750 AT1G75950 AT2G20140 AT3G05520 AT3G05530 AT4G29040 AT4G34210 AT4G34470 AT5G19990 AT5G20000 AT5G42190 AT5G58290 AT2G41110";"A. thaliana";"AID"
7.42430238758257e-58;91;709;"Cellular macromolecule catabolic process ";"AT1G02300 AT1G02305 AT1G02980 AT1G04810 AT1G06260 AT1G09850 AT1G13060 AT1G20200 AT1G21720 AT1G23410 AT1G29090 AT1G29150 AT1G45000 AT1G47250 AT1G53850 AT1G56450 AT1G64520 AT1G65350 AT1G75990 AT1G77440 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT2G34080 AT2G36170 AT2G47110 AT3G09790 AT3G11270 AT3G13330 AT3G14290 AT3G19390 AT3G19400 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G52590 AT3G53970 AT3G60820 AT3G62250 AT4G01610 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G11310 AT4G11320 AT4G14800 AT4G15165 AT4G19006 AT4G23520 AT4G24820 AT4G28470 AT4G31300 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G20620 AT5G23540 AT5G35590 AT5G40580 AT5G42790 AT5G43010 AT5G45620 AT5G45890 AT5G50260 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G09100 AT1G75950 AT2G20140 AT3G05520 AT3G05530 AT4G29040 AT4G34210 AT4G34470 AT5G42190 AT5G58290";"A. thaliana";"AID"
1.80597360181225e-55;102;1007;"Macromolecule catabolic process ";"AT1G02300 AT1G02305 AT1G02980 AT1G04810 AT1G06260 AT1G09850 AT1G13060 AT1G20200 AT1G21720 AT1G23410 AT1G29090 AT1G29150 AT1G45000 AT1G47250 AT1G53850 AT1G56450 AT1G64520 AT1G65350 AT1G75990 AT1G77440 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT2G34080 AT2G36170 AT2G47110 AT3G09790 AT3G11270 AT3G13330 AT3G14290 AT3G19390 AT3G19400 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G52590 AT3G53970 AT3G60820 AT3G62250 AT4G01610 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G11310 AT4G11320 AT4G14800 AT4G15165 AT4G19006 AT4G19720 AT4G19730 AT4G19750 AT4G19760 AT4G19800 AT4G19810 AT4G19820 AT4G23520 AT4G24820 AT4G28470 AT4G31300 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G20620 AT5G23540 AT5G35590 AT5G40580 AT5G42790 AT5G43010 AT5G45620 AT5G45890 AT5G50260 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G09100 AT1G53750 AT1G75950 AT2G20140 AT3G05520 AT3G05530 AT4G29040 AT4G34210 AT4G34470 AT5G19990 AT5G20000 AT5G42190 AT5G58290 AT2G41110";"A. thaliana";"AID"
1.21996337047982e-54;105;1104;"Proteolysis ";"AT1G01650 AT1G02300 AT1G02305 AT1G02980 AT1G04810 AT1G06260 AT1G09850 AT1G13060 AT1G20200 AT1G21720 AT1G23410 AT1G29090 AT1G29150 AT1G45000 AT1G47250 AT1G47710 AT1G53850 AT1G56450 AT1G62170 AT1G63690 AT1G64030 AT1G64520 AT1G65350 AT1G75990 AT1G77440 AT2G05840 AT2G14540 AT2G20580 AT2G25240 AT2G26390 AT2G27020 AT2G32730 AT2G34080 AT2G35580 AT2G36170 AT2G43070 AT2G47110 AT3G09790 AT3G11270 AT3G13330 AT3G14290 AT3G19390 AT3G19400 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G45220 AT3G51260 AT3G52590 AT3G53970 AT3G60820 AT3G62250 AT4G01610 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G11310 AT4G11320 AT4G14800 AT4G15165 AT4G19006 AT4G23520 AT4G24820 AT4G28470 AT4G31300 AT4G33410 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G20620 AT5G23540 AT5G35590 AT5G40580 AT5G42790 AT5G43010 AT5G45620 AT5G45890 AT5G50260 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G09100 AT1G75950 AT2G20140 AT3G05520 AT3G05530 AT4G29040 AT4G34210 AT4G34470 AT4G36880 AT5G24260 AT5G42190 AT5G58290";"A. thaliana";"AID"
1.1411186063906e-50;71;452;"Modification-dependent protein catabolic process ";"AT1G02980 AT1G04810 AT1G13060 AT1G20200 AT1G21720 AT1G23410 AT1G29150 AT1G45000 AT1G47250 AT1G53850 AT1G56450 AT1G64520 AT1G65350 AT1G75990 AT1G77440 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT2G36170 AT2G47110 AT3G09790 AT3G11270 AT3G14290 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G52590 AT3G53970 AT3G60820 AT3G62250 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G14800 AT4G15165 AT4G19006 AT4G24820 AT4G28470 AT4G31300 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G20620 AT5G23540 AT5G35590 AT5G40580 AT5G42790 AT5G43010 AT5G45620 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G75950 AT4G34210 AT4G34470 AT5G42190 AT4G29040";"A. thaliana";"AID"
4.49919615664219e-50;116;1550;"Cellular catabolic process ";"AT1G02300 AT1G02305 AT1G02980 AT1G04810 AT1G06260 AT1G09850 AT1G13060 AT1G13440 AT1G16300 AT1G20200 AT1G21720 AT1G23410 AT1G29090 AT1G29150 AT1G45000 AT1G47250 AT1G48430 AT1G53850 AT1G56450 AT1G60490 AT1G64520 AT1G65350 AT1G75990 AT1G77440 AT1G79530 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT2G34080 AT2G36170 AT2G47110 AT3G04120 AT3G09790 AT3G11270 AT3G13330 AT3G14290 AT3G17770 AT3G19390 AT3G19400 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G52590 AT3G53970 AT3G60820 AT3G61960 AT3G62250 AT4G01610 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G11310 AT4G11320 AT4G13930 AT4G14800 AT4G15165 AT4G19006 AT4G19720 AT4G19730 AT4G19750 AT4G19760 AT4G19800 AT4G19810 AT4G19820 AT4G23520 AT4G24820 AT4G28470 AT4G29380 AT4G31300 AT4G32520 AT4G37930 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G20620 AT5G23540 AT5G26780 AT5G35590 AT5G40290 AT5G40580 AT5G42740 AT5G42790 AT5G43010 AT5G45620 AT5G45890 AT5G50260 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G09100 AT1G75950 AT2G20140 AT3G05520 AT3G05530 AT4G29040 AT4G34210 AT4G34470 AT5G42190 AT5G58290 AT1G63900 AT3G05630 AT1G73190";"A. thaliana";"AID"
5.97696769754013e-50;71;464;"Modification-dependent macromolecule catabolic process ";"AT1G02980 AT1G04810 AT1G13060 AT1G20200 AT1G21720 AT1G23410 AT1G29150 AT1G45000 AT1G47250 AT1G53850 AT1G56450 AT1G64520 AT1G65350 AT1G75990 AT1G77440 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT2G36170 AT2G47110 AT3G09790 AT3G11270 AT3G14290 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G52590 AT3G53970 AT3G60820 AT3G62250 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G14800 AT4G15165 AT4G19006 AT4G24820 AT4G28470 AT4G31300 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G20620 AT5G23540 AT5G35590 AT5G40580 AT5G42790 AT5G43010 AT5G45620 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G75950 AT4G34210 AT4G34470 AT5G42190 AT4G29040";"A. thaliana";"AID"
